clock_in,employee_id,name,created_at,pay_rate,business_id,updated_at,clock_out,id
2018-05-01T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-01T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-02T04:00:00.000Z,2018-05-02T04:00:00.000Z,1e34447f-82f8-4f33-bc6c-3c372f89413b
2018-05-02T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-02T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-03T04:00:00.000Z,2018-05-03T04:00:00.000Z,2c2e8237-47d8-4919-ab6f-ba4c982b537b
2018-05-03T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-03T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-04T04:00:00.000Z,2018-05-04T04:00:00.000Z,cdb37a7a-05ec-43d8-910c-e476fc199803
2018-05-04T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-04T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-05T04:00:00.000Z,2018-05-05T04:00:00.000Z,173f64f8-d890-4f3a-a8f2-72b6bd9d3b20
2018-05-05T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-05T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-06T04:00:00.000Z,2018-05-06T04:00:00.000Z,8af1fa60-d6fa-4605-b22a-6845addc075f
2018-05-06T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-06T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-07T04:00:00.000Z,2018-05-07T04:00:00.000Z,f62afbb0-533e-46ff-aff5-9115c16f3d32
2018-05-07T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-07T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-08T04:00:00.000Z,2018-05-08T04:00:00.000Z,4b917f5d-ca7a-4553-9807-224b4f9d2e6d
2018-05-08T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-08T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-09T04:00:00.000Z,2018-05-09T04:00:00.000Z,2297ef44-becd-4948-b948-ae42ef6b2116
2018-05-09T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-09T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-10T04:00:00.000Z,2018-05-10T04:00:00.000Z,505fc1ba-126e-4a56-ac1a-fb64638293ce
2018-05-10T20:00:00.000Z,907b4fac-306f-4e4a-b957-1aaaaa8d9995,Jessica Burrey,2018-05-10T20:00:00.000Z,12,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-05-11T04:00:00.000Z,2018-05-11T04:00:00.000Z,91638b73-2e12-4d9c-b664-630b4b80545b
